season,date,home,away,link,stats_link
2018-19,Friday 11th January,Rayo Vallecano,Celta Vigo,https://www.skysports.com/football/rayo-vallecano-vs-celta-vigo/399489,https://www.skysports.com/football/rayo-vallecano-vs-celta-vigo/stats/399489
2018-19,Monday 7th January,Celta Vigo,Athletic Bilbao,https://www.skysports.com/football/celta-vigo-vs-athletic-bilbao/399475,https://www.skysports.com/football/celta-vigo-vs-athletic-bilbao/stats/399475
2018-19,Sunday 6th January,Eibar,Villarreal,https://www.skysports.com/football/eibar-vs-villarreal/399476,https://www.skysports.com/football/eibar-vs-villarreal/stats/399476
2018-19,Sunday 6th January,Sevilla,Atletico Madrid,https://www.skysports.com/football/sevilla-vs-atletico-madrid/399483,https://www.skysports.com/football/sevilla-vs-atletico-madrid/stats/399483
2018-19,Sunday 6th January,Real Madrid,Real Sociedad,https://www.skysports.com/football/real-madrid-vs-real-sociedad/399481,https://www.skysports.com/football/real-madrid-vs-real-sociedad/stats/399481
2018-19,Sunday 6th January,Getafe,Barcelona,https://www.skysports.com/football/getafe-vs-barcelona/399478,https://www.skysports.com/football/getafe-vs-barcelona/stats/399478
2018-19,Saturday 5th January,Real Valladolid,Rayo Vallecano,https://www.skysports.com/football/real-valladolid-vs-rayo-vallecano/399482,https://www.skysports.com/football/real-valladolid-vs-rayo-vallecano/stats/399482
2018-19,Saturday 5th January,Alaves,Valencia,https://www.skysports.com/football/alaves-vs-valencia/399474,https://www.skysports.com/football/alaves-vs-valencia/stats/399474
2018-19,Saturday 5th January,SD Huesca,Real Betis,https://www.skysports.com/football/sd-huesca-vs-real-betis/399479,https://www.skysports.com/football/sd-huesca-vs-real-betis/stats/399479
2018-19,Friday 4th January,Levante,Girona,https://www.skysports.com/football/levante-vs-girona/399480,https://www.skysports.com/football/levante-vs-girona/stats/399480
2018-19,Friday 4th January,Espanyol,Leganes,https://www.skysports.com/football/espanyol-vs-leganes/399477,https://www.skysports.com/football/espanyol-vs-leganes/stats/399477
2018-19,Thursday 3rd January,Villarreal,Real Madrid,https://www.skysports.com/football/villarreal-vs-real-madrid/399473,https://www.skysports.com/football/villarreal-vs-real-madrid/stats/399473
