date,season,fulltime_result,is_home,team,team_fulltime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_fouls_committed,team_xg,opponent_fulltime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_fouls_committed,opponent_xg,fd_team_fulltime_goals,fd_team_win_bet365_probs,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_clear_cut_chances,fd_team_xg,fd_opponent_fulltime_goals,fd_opponent_win_bet365_probs,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_clear_cut_chances,fd_opponent_xg
2017-10-28,2017_2018,1,0,Villarreal,4,0.58,2016,50,25,9,87,3,9,6,14,0.7,1,0.12,2200,32,4,2,75,1,4,1,19,1.6,2,-0.18,15,6,5,0,1.3000000000000003,0,-0.14,-1,-2,1,1,0.7
2017-10-29,2017_2018,1,0,Levante,1,0.44,1883,51,5,1,72,1,3,1,18,1.0,0,0.2,1897,41,9,2,81,0,2,5,7,1.6,1,-0.20999999999999996,-8,-2,-6,0,-0.4,0,0.44000000000000006,-3,-1,2,0,-0.3
2017-10-29,2017_2018,0,0,Real Sociedad,1,0.33,2023,61,19,5,85,2,10,2,11,1.2,1,0.28,1859,49,9,5,68,1,2,5,16,2.2,-3,-0.01999999999999999,1,-1,1,0,-0.3999999999999999,0,-0.22999999999999998,1,2,-3,1,-0.19999999999999996
2017-10-29,2017_2018,0,0,Celta Vigo,0,0.26,1977,67,19,8,85,0,5,1,13,1.2,0,0.35,1844,34,13,5,80,0,3,4,11,1.9,-5,0.09000000000000002,5,1,2,-3,-0.7,0,0.38,0,0,0,-1,-0.4
2017-10-30,2017_2018,0,0,Real Betis,2,0.38,1907,68,12,5,90,2,6,1,18,0.4,1,0.24,1956,38,4,1,73,1,1,1,15,0.9,-1,-0.14999999999999997,-1,-1,0,0,-1.8,1,0.23999999999999996,-17,-5,-8,-1,-1.9
2017-10-30,2017_2018,2,0,Deportivo La Coruna,1,0.39,1823,60,15,6,82,2,9,5,9,1.7,0,0.22,1853,49,16,5,83,0,6,1,9,0.6,1,-0.18999999999999997,7,4,0,1,1.7999999999999998,-2,0.28,-8,-6,-2,-3,-1.2000000000000002
2017-11-03,2017_2018,1,0,Getafe,2,0.41,1871,44,10,5,70,2,8,6,19,0.8,0,0.22,1901,60,9,4,84,0,3,0,17,1.3,1,-0.07999999999999996,1,0,0,1,1.4000000000000001,-2,0.24,-3,-1,-5,-2,-0.4
2017-11-04,2017_2018,0,0,Espanyol,1,0.31,1962,39,10,4,74,1,5,4,10,0.9,1,0.33,1905,44,16,6,75,0,6,1,19,0.7,0,-0.16999999999999998,6,3,5,0,0.4,1,0.010000000000000009,9,3,1,-1,0.20000000000000007
2017-11-04,2017_2018,0,0,Sevilla,2,0.58,2055,61,9,5,81,1,5,4,16,0.6,2,0.06,2330,60,17,5,82,2,4,5,12,2.1,2,-0.26999999999999996,-8,0,-3,1,0.8999999999999999,0,0.08,5,1,0,0,0.8000000000000003
2017-11-04,2017_2018,0,0,Leganes,1,0.53,1898,38,10,1,62,0,6,0,19,1.2,2,0.12,2042,55,7,2,78,0,4,1,18,2.2,0,0.26,-6,-3,-2,-2,0.09999999999999987,-2,-0.04999999999999999,-11,-6,-2,-3,-1.2000000000000002
2017-11-05,2017_2018,0,0,Athletic Bilbao,0,0.38,2003,39,17,5,78,2,6,6,15,0.9,1,0.23,1966,64,10,2,84,2,1,4,12,1.0,0,0.16000000000000003,10,4,3,1,0.40000000000000013,1,-0.18,-9,-6,-2,2,0.09999999999999987
2017-11-05,2017_2018,2,0,Girona,2,0.35,1823,38,15,4,79,2,2,1,21,1.5,2,0.28,1886,30,3,2,60,3,2,5,16,0.8,0,0.14000000000000007,2,-2,3,1,0.40000000000000013,1,0.16999999999999998,-2,1,-1,2,0.5
2017-11-05,2017_2018,0,0,Las Palmas,1,0.57,1833,62,13,5,86,1,8,2,11,0.2,1,0.03,2347,61,14,6,84,1,7,4,11,2.2,1,-0.33000000000000007,-3,0,-2,1,-0.30000000000000004,-2,0.04000000000000001,-1,-1,0,-2,0.10000000000000009
2017-11-05,2017_2018,0,0,Eibar,2,0.5,1894,69,16,6,81,0,6,2,8,0.3,1,0.14,2014,55,15,4,79,2,7,3,16,2.4,2,-0.46,7,4,0,0,1.3,0,0.14,-4,-1,0,0,-0.10000000000000009
2017-11-05,2017_2018,0,0,Malaga,2,0.51,1855,35,15,3,72,0,4,0,20,0.5,1,0.13,2041,54,12,4,79,1,6,0,20,1.2,2,-0.30000000000000004,2,-2,2,0,1.2999999999999998,-3,0.45999999999999996,-13,-5,-7,-2,-2.0
2017-11-17,2017_2018,1,0,Real Sociedad,3,0.27,2021,51,10,6,80,3,3,5,10,1.4,2,0.33,1837,51,10,5,80,3,2,2,16,1.2,2,-0.19,-5,2,-2,1,1.2,0,-0.21000000000000008,-5,1,-3,1,-0.7000000000000002
2017-11-18,2017_2018,2,0,Barcelona,2,0.08,2332,52,18,6,85,2,3,2,10,2.6,0,0.59,1891,42,13,6,74,0,7,2,13,1.5,0,-0.05,1,1,3,0,-0.6000000000000001,-1,0.0,3,5,-2,0,0.0
2017-11-18,2017_2018,0,0,Celta Vigo,3,0.46,1978,49,11,5,77,2,3,4,13,1.8,1,0.17,2053,47,8,3,86,1,3,5,12,1.3,2,-0.03,1,3,0,0,-0.19999999999999996,-1,0.43999999999999995,-1,-2,0,0,-1.1
2017-11-19,2017_2018,1,0,Villarreal,2,0.37,2046,55,14,3,78,2,6,9,18,1.4,1,0.25,1991,50,14,5,78,2,6,0,17,1.0,1,-0.44999999999999996,2,-1,7,1,0.5,1,-0.16000000000000003,-3,0,-1,0,-0.20000000000000007
2017-11-19,2017_2018,2,0,Levante,1,0.42,1872,48,7,4,78,1,7,1,10,0.9,0,0.21,1832,40,3,1,83,0,2,3,9,0.8,-1,-0.15999999999999998,4,2,1,-2,-0.19999999999999996,-1,0.35,-10,-4,-5,-1,-0.39999999999999997
2017-11-19,2017_2018,0,0,Deportivo La Coruna,0,0.35,1839,50,15,1,74,0,4,1,17,1.2,0,0.27,1850,44,10,2,72,0,4,3,12,1.8,-3,0.07999999999999996,0,-4,1,-1,-1.1,-2,0.16000000000000003,-5,-1,-3,0,-1.4
2017-11-24,2017_2018,0,0,Leganes,0,0.45,1887,32,18,7,70,3,6,0,25,0.8,1,0.2,1973,48,11,5,81,3,2,0,17,1.8,0,0.05999999999999994,5,1,2,3,0.30000000000000004,-2,0.23,0,0,1,1,0.8
2017-11-25,2017_2018,2,0,Eibar,5,0.36,1902,43,17,7,79,3,5,3,10,1.0,1,0.29,1900,57,11,5,73,1,5,1,14,0.4,4,-0.21999999999999997,8,2,7,3,1.9000000000000001,0,0.13999999999999996,-6,-1,-4,0,0.10000000000000009
2017-11-25,2017_2018,1,0,Girona,1,0.4,1839,54,14,4,78,1,3,3,28,1.6,0,0.21,1882,56,4,0,81,2,2,2,9,1.1,-1,-0.019999999999999962,4,-1,2,-2,-0.30000000000000004,-2,0.12999999999999998,-11,-4,-7,1,-0.5
2017-11-25,2017_2018,2,0,Atletico Madrid,0,0.12,2203,34,7,1,80,1,7,0,21,3.4,2,0.59,1890,38,11,6,77,2,5,0,23,1.3,-1,0.18,-4,-2,-3,1,0.19999999999999996,1,0.13999999999999996,4,2,1,1,0.09999999999999998
2017-11-25,2017_2018,0,0,Malaga,3,0.6,1857,45,14,5,76,1,5,4,16,0.6,0,0.03,2351,65,14,3,88,3,9,0,6,2.9,3,-0.24,4,3,2,1,1.3,-3,0.22,-13,-6,-7,0,-0.8000000000000003
