is_home,team_fulltime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_fouls_committed,team_xg,opponent_fulltime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_fouls_committed,opponent_xg,fd_team_fulltime_goals,fd_team_win_bet365_probs,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_clear_cut_chances,fd_team_xg,fd_opponent_fulltime_goals,fd_opponent_win_bet365_probs,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_clear_cut_chances,fd_opponent_xg,fulltime_result
0.0,1,0.56,1801,65,11,4,81,0,4,0,11,0.4,0,0.11,2011,60,9,0,78,0,4,5,14,0.7,1,-0.41000000000000003,2,3,2,0,-0.09999999999999998,-1,0.14999999999999997,2,-1,3,-3,-0.9,1
0.0,5,0.61,1964,63,19,8,83,3,9,5,11,0.7,2,0.06,2287,71,23,9,89,0,6,3,7,4.1,3,-0.28,-5,2,-1,3,1.6,-2,-0.09,10,2,2,0,-1.3000000000000003,0
0.0,1,0.42,1945,26,7,2,61,2,0,3,15,0.4,1,0.2,2013,73,16,4,87,1,1,0,11,2.5,-1,0.18999999999999995,-5,-2,-4,2,-0.30000000000000004,-1,-0.08999999999999997,6,1,5,0,-0.19999999999999996,1
0.0,2,0.46,1888,39,8,3,69,2,2,2,13,1.8,1,0.17,2053,55,11,3,71,2,3,4,20,2.0,2,-0.10999999999999999,-3,1,-1,1,1.9,0,0.2,-4,2,-7,0,0.0,0
0.0,2,0.53,1867,28,12,4,69,2,4,2,14,0.2,0,0.12,2006,51,9,0,87,0,1,0,4,3.5,0,0.2,-3,0,-4,0,0.09999999999999987,-1,0.10999999999999993,-2,-4,1,-2,-0.7000000000000001,0
0.0,0,0.45,1812,38,16,2,76,2,8,3,19,0.3,2,0.2,1952,29,5,4,58,1,2,2,15,1.2,0,-0.26,12,1,5,2,1.5,0,0.16999999999999998,-4,1,-1,-1,-0.6000000000000001,0
0.0,1,0.5,1861,40,5,1,77,0,9,3,19,0.6,2,0.14,1959,47,8,3,89,2,3,1,10,1.8,-1,-0.07999999999999996,-7,-3,-1,-2,-1.0,-3,0.5,-11,-5,-3,-1,-2.0,0
0.0,2,0.33,2009,71,18,7,89,2,9,1,9,0.1,0,0.29,1901,20,10,1,56,0,4,3,13,1.4,1,-0.12,2,3,-3,1,1.2,0,0.45,-1,0,-1,-2,-0.5,0
0.0,0,0.68,1898,46,14,6,76,1,2,1,19,0.7,2,0.04,2343,53,10,6,82,4,0,6,6,2.8,-2,0.18,6,3,0,-1,-0.7,2,0.07,-2,0,0,3,1.4,0
0.0,1,0.64,1956,48,14,3,73,1,9,0,17,0.5,3,0.04,2315,60,13,7,87,2,5,2,7,2.8,-1,-0.26999999999999996,9,-1,6,0,0.7,-2,-0.009999999999999995,1,-2,2,-1,0.3999999999999999,0
0.0,2,0.25,2200,57,14,4,81,1,5,2,6,2.6,2,0.38,2064,44,12,6,75,4,5,3,18,1.0,1,-0.01999999999999999,9,3,3,1,0.9999999999999999,1,0.04999999999999999,0,2,-1,2,1.1,2
0.0,3,0.33,1895,57,20,5,85,4,7,0,7,1.7,0,0.29,1853,31,9,1,72,0,4,1,13,0.6,2,0.20000000000000007,10,1,7,3,1.3,-1,-0.030000000000000027,4,0,2,0,0.39999999999999997,2
0.0,2,0.34,2001,50,8,3,71,3,3,5,11,0.5,1,0.26,1896,37,10,4,76,0,3,0,11,0.9,2,-0.11000000000000001,4,2,3,3,1.4,1,0.22000000000000003,-4,-2,0,-1,-1.1,0
0.0,2,0.32,2025,35,7,4,77,1,4,1,12,0.2,2,0.3,2007,59,8,6,76,1,6,2,12,1.8,0,-0.06,-3,1,-3,1,0.40000000000000013,2,-0.42999999999999994,4,6,-2,1,0.39999999999999997,1
0.0,0,0.49,1836,30,12,2,69,1,5,1,17,0.3,0,0.18,1954,36,11,5,78,0,5,3,14,2.3,0,-0.21000000000000002,3,1,2,1,0.0,-1,0.44,-3,2,-2,-1,-0.7,0
0.0,1,0.28,1953,64,9,3,86,1,4,2,9,0.6,2,0.33,1912,69,15,5,87,2,5,0,8,0.5,-2,0.31,-4,0,-2,0,-0.7,-1,-0.22000000000000003,-5,0,-4,-2,-0.40000000000000013,1
0.0,3,0.6,1922,41,14,5,64,1,10,2,6,0.9,0,0.05,2300,61,12,5,85,0,8,2,10,1.8,3,-0.26,9,2,4,1,0.19999999999999996,-4,0.09,-12,-5,-6,-3,-1.6999999999999997,0
0.0,1,0.49,2005,48,11,4,76,2,6,5,16,0.7,1,0.16,2054,51,6,4,77,2,4,2,14,2.3,-1,0.12999999999999998,3,-2,5,1,1.1,-1,-0.14,-4,-1,-1,0,-0.19999999999999996,0
0.0,1,0.48,1906,44,11,2,79,2,6,3,9,0.4,0,0.18,1986,50,11,3,70,0,4,4,8,0.7,0,-0.42000000000000004,1,-2,-1,2,0.20000000000000007,-1,0.23,2,-1,1,-1,-0.30000000000000004,2
0.0,0,0.51,1910,49,9,5,77,0,4,2,11,0.4,1,0.11,2027,51,6,4,79,0,1,6,16,1.3,-2,0.0,-6,0,-2,-2,-1.2,-1,0.16,-1,0,-1,-1,-1.4000000000000001,0
0.0,1,0.55,1816,35,12,1,73,1,6,3,18,0.4,0,0.11,1991,55,10,2,81,0,4,4,10,1.7,1,0.16000000000000003,7,0,6,1,1.4000000000000001,-2,0.12000000000000002,2,-1,-1,-3,-1.0,0
0.0,2,0.41,2034,39,12,6,83,1,7,4,14,1.3,2,0.22,2063,49,18,8,77,5,8,4,14,1.6,1,-0.21000000000000002,6,2,2,1,1.1,1,-0.07999999999999999,12,4,5,3,1.4999999999999998,2
0.0,2,0.46,1897,59,10,3,77,2,6,4,11,1.0,0,0.2,1983,50,10,3,77,1,4,6,13,0.9,2,-0.45999999999999996,1,0,0,1,0.09999999999999998,-1,0.19,-1,-1,0,-1,-1.1,0
0.0,2,0.31,1962,60,14,5,85,1,8,2,10,0.8,1,0.33,1963,68,15,3,80,1,1,1,13,2.2,2,-0.13000000000000003,0,0,1,1,1.2999999999999998,0,-0.22999999999999998,-1,-4,3,0,0.7000000000000001,0
0.0,0,0.23,1964,62,14,5,81,0,7,4,14,2.6,1,0.38,1813,42,10,3,78,0,7,0,15,1.1,0,-0.22000000000000003,3,2,3,0,0.09999999999999998,0,-0.07999999999999996,-2,2,-5,-1,-1.2000000000000002,2
0.0,1,0.56,1930,48,10,1,72,1,6,5,18,1.2,2,0.11,2054,38,10,5,73,2,3,4,15,2.8,0,-0.24,6,0,6,0,0.5,0,0.3,-2,-1,0,1,0.0,0
0.0,2,0.62,1976,44,13,5,67,1,3,2,12,0.7,2,0.05,2350,75,20,9,90,4,5,4,9,2.4,2,-0.29,3,2,1,0,0.20000000000000007,1,-0.11000000000000001,4,4,4,4,1.2000000000000002,0
0.0,2,0.66,1934,48,9,6,75,0,2,0,17,1.4,2,0.05,2325,54,12,6,78,3,6,3,7,3.4,0,-0.33999999999999997,5,3,0,0,0.6,-1,0.06999999999999999,-2,0,0,0,-0.10000000000000009,0
0.0,0,0.4,1982,53,11,3,72,2,4,2,17,0.5,0,0.23,1974,40,10,3,76,1,5,3,14,1.7,0,-0.45999999999999996,2,1,1,1,0.40000000000000013,-2,0.42,-3,-2,-3,0,-0.20000000000000007,1
0.0,1,0.33,1941,67,8,2,78,1,7,3,13,0.6,1,0.27,1954,67,13,5,78,3,5,3,11,0.9,0,-0.15,-3,-3,-1,0,-0.4,0,-0.20999999999999996,1,2,1,-1,1.0000000000000002,1
