Div,Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Time
primera,1999-12-21,Alaves,Real Madrid,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-12-22,Ath Madrid,Oviedo,3.0,0.0,H,,,,,,,,,,,,,
primera,1999-12-22,Betis,Valladolid,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-12-22,Celta,Malaga,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-12-22,Espanol,Numancia,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-12-22,Mallorca,Sevilla,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-12-22,Santander,Ath Bilbao,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-12-22,Sociedad,Valencia,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-12-22,Vallecano,Barcelona,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-12-22,Zaragoza,La Coruna,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-04,Valencia,Celta,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-05,Ath Bilbao,Espanol,1.0,1.0,D,,,,,,,,,,,,,
primera,2000-01-05,Barcelona,Sociedad,2.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-05,La Coruna,Santander,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-01-05,Malaga,Zaragoza,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-05,Mallorca,Valladolid,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-05,Numancia,Alaves,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-05,Oviedo,Vallecano,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-05,Sevilla,Ath Madrid,2.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-08,Espanol,La Coruna,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-09,Alaves,Ath Bilbao,1.0,1.0,D,,,,,,,,,,,,,
primera,2000-01-09,Ath Madrid,Mallorca,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-09,Betis,Numancia,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-09,Celta,Barcelona,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-01-09,Santander,Malaga,1.0,1.0,D,,,,,,,,,,,,,
primera,2000-01-09,Sociedad,Oviedo,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-09,Vallecano,Sevilla,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-09,Zaragoza,Valencia,2.0,1.0,H,,,,,,,,,,,,,
primera,2000-01-15,Vallecano,Ath Madrid,1.0,1.0,D,,,,,,,,,,,,,
primera,2000-01-16,Alaves,La Coruna,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-16,Betis,Ath Bilbao,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-16,Celta,Oviedo,4.0,2.0,H,,,,,,,,,,,,,
primera,2000-01-16,Espanol,Malaga,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-16,Santander,Valencia,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-01-16,Sociedad,Sevilla,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-01-16,Valladolid,Numancia,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-16,Zaragoza,Barcelona,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-17,Real Madrid,Mallorca,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-01-22,La Coruna,Betis,1.0,0.0,H,,,,,,,,,,,,,
