Div,Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Time
primera,04/03/00,Valencia,Ath Bilbao,0.0,0.0,D,,,,,,,,,,,,,
primera,05/03/00,Ath Madrid,Betis,0.0,0.0,D,,,,,,,,,,,,,
primera,05/03/00,Celta,Santander,1.0,0.0,H,,,,,,,,,,,,,
primera,05/03/00,Malaga,La Coruna,1.0,0.0,H,,,,,,,,,,,,,
primera,05/03/00,Mallorca,Zaragoza,1.0,0.0,H,,,,,,,,,,,,,
primera,05/03/00,Sevilla,Valladolid,0.0,0.0,D,,,,,,,,,,,,,
primera,05/03/00,Sociedad,Espanol,1.0,0.0,H,,,,,,,,,,,,,
primera,05/03/00,Vallecano,Alaves,0.0,0.0,D,,,,,,,,,,,,,
primera,11/03/00,Ath Bilbao,Barcelona,0.0,2.0,A,,,,,,,,,,,,,
primera,11/03/00,Betis,Vallecano,1.0,0.0,H,,,,,,,,,,,,,
primera,11/03/00,Real Madrid,Sevilla,3.0,0.0,H,,,,,,,,,,,,,
primera,12/03/00,Alaves,Sociedad,0.0,1.0,A,,,,,,,,,,,,,
primera,12/03/00,Espanol,Celta,0.0,0.0,D,,,,,,,,,,,,,
primera,12/03/00,La Coruna,Valencia,1.0,0.0,H,,,,,,,,,,,,,
primera,12/03/00,Malaga,Mallorca,0.0,0.0,D,,,,,,,,,,,,,
primera,12/03/00,Numancia,Oviedo,0.0,1.0,A,,,,,,,,,,,,,
primera,12/03/00,Santander,Zaragoza,1.0,0.0,H,,,,,,,,,,,,,
primera,12/03/00,Valladolid,Ath Madrid,1.0,0.0,H,,,,,,,,,,,,,
primera,18/03/00,Ath Madrid,Real Madrid,0.0,1.0,A,,,,,,,,,,,,,
primera,18/03/00,Barcelona,La Coruna,2.0,0.0,H,,,,,,,,,,,,,
primera,18/03/00,Valencia,Malaga,0.0,0.0,D,,,,,,,,,,,,,
primera,19/03/00,Celta,Alaves,0.0,0.0,D,,,,,,,,,,,,,
primera,19/03/00,Mallorca,Santander,0.0,1.0,A,,,,,,,,,,,,,
primera,19/03/00,Oviedo,Ath Bilbao,1.0,0.0,H,,,,,,,,,,,,,
primera,19/03/00,Sevilla,Numancia,1.0,0.0,H,,,,,,,,,,,,,
primera,19/03/00,Sociedad,Betis,0.0,0.0,D,,,,,,,,,,,,,
primera,19/03/00,Vallecano,Valladolid,1.0,0.0,H,,,,,,,,,,,,,
primera,19/03/00,Zaragoza,Espanol,1.0,0.0,H,,,,,,,,,,,,,
primera,25/03/00,Alaves,Zaragoza,0.0,0.0,D,,,,,,,,,,,,,
primera,25/03/00,Ath Bilbao,Sevilla,1.0,0.0,H,,,,,,,,,,,,,
primera,25/03/00,Espanol,Santander,0.0,0.0,D,,,,,,,,,,,,,
primera,25/03/00,Malaga,Barcelona,1.0,0.0,H,,,,,,,,,,,,,
primera,25/03/00,Numancia,Ath Madrid,1.0,0.0,H,,,,,,,,,,,,,
primera,25/03/00,Real Madrid,Vallecano,0.0,0.0,D,,,,,,,,,,,,,
primera,25/03/00,Valencia,Mallorca,0.0,0.0,D,,,,,,,,,,,,,
primera,25/03/00,Valladolid,Sociedad,0.0,1.0,A,,,,,,,,,,,,,
primera,26/03/00,Betis,Celta,0.0,0.0,D,,,,,,,,,,,,,
primera,26/03/00,La Coruna,Oviedo,2.0,0.0,H,,,,,,,,,,,,,
primera,01/04/00,Sociedad,Real Madrid,0.0,1.0,A,,,,,,,,,,,,,
