Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sun,2021-12-05,18:30 (17:30),Levante,0.5,0–0,0.3,Osasuna,15361,Estadio Ciudad de Valencia,Valentín Pizarro,Match Report,
16,Sun,2021-12-05,21:00 (20:00),Celta Vigo,0.9,1–2,1.3,Valencia,11361,Estadio de Balaídos,Ricardo de Burgos,Match Report,
16,Mon,2021-12-06,21:00 (20:00),Getafe,1.2,0–0,0.5,Athletic Club,9176,Coliseum Alfonso Pérez,Jorge Figueroa,Match Report,
,,,,,,,,,,,,,
17,Fri,2021-12-10,21:00 (20:00),Mallorca,0.8,0–0,1.0,Celta Vigo,10655,Iberostar Estadi,Isidro Díaz de Mera,Match Report,
17,Sat,2021-12-11,14:00 (13:00),Espanyol,2.3,4–3,2.9,Levante,15193,RCDE Stadium,Adrián Cordero,Match Report,
17,Sat,2021-12-11,16:15 (15:15),Alavés,0.7,1–1,1.0,Getafe,10065,Estadio de Mendizorroza,César Soto,Match Report,
17,Sat,2021-12-11,18:30 (17:30),Valencia,1.6,2–1,0.9,Elche,31662,Estadio de Mestalla,Santiago Jaime,Match Report,
17,Sat,2021-12-11,21:00 (20:00),Athletic Club,1.4,0–1,0.2,Sevilla,36737,San Mamés,Alejandro Hernández,Match Report,
17,Sun,2021-12-12,14:00 (13:00),Villarreal,2.4,2–0,1.5,Rayo Vallecano,13133,Estadio de la Cerámica,Mario Melero,Match Report,
17,Sun,2021-12-12,16:15 (15:15),Osasuna,0.3,2–2,0.9,Barcelona,21427,Estadio El Sadar,Juan Martínez,Match Report,
17,Sun,2021-12-12,18:30 (17:30),Betis,1.6,4–0,0.9,Real Sociedad,52158,Estadio Benito Villamarín,José Sánchez,Match Report,
17,Sun,2021-12-12,21:00 (20:00),Real Madrid,0.4,2–0,0.7,Atlético Madrid,51024,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Match Report,
17,Mon,2021-12-13,21:00 (20:00),Cádiz,0.7,1–1,1.0,Granada,13052,Estadio Nuevo Mirandilla,Miguel Ángel Ortiz Arias,Match Report,
,,,,,,,,,,,,,
18,Fri,2021-12-17,21:00 (20:00),Celta Vigo,1.2,3–1,0.4,Espanyol,9526,Estadio de Balaídos,Valentín Pizarro,Match Report,
18,Sat,2021-12-18,14:00 (13:00),Rayo Vallecano,1.8,2–0,0.2,Alavés,7911,Estadio del Rayo Vallecano,Antonio Matéu Lahoz,Match Report,
